BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,Color
473590,VISA,CREDIT,TRADITIONAL,MOCSE FEDERAL CREDIT UNION,+12095723600,https://www.mocse.org,US,USA,UNITED STATES,
473591,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
473592,VISA,CREDIT,TRADITIONAL,KINGS FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473593,VISA,CREDIT,TRADITIONAL,FAMILIES AND SCHOOLS TOGETHER FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473594,VISA,CREDIT,TRADITIONAL,VALLEY FIRST CREDIT UNION,+18775494567,https://www.valleyfirstcu.org,US,USA,UNITED STATES,
473595,VISA,CREDIT,CLASSIC,VALLEY FIRST CREDIT UNION,+18775494567,https://www.valleyfirstcu.org,US,USA,UNITED STATES,
473596,VISA,CREDIT,CLASSIC,MOCSE FEDERAL CREDIT UNION,+12095723600,https://www.mocse.org,US,USA,UNITED STATES,
473597,VISA,CREDIT,CLASSIC,CREDIT UNION OF SOUTHERN CALIFORNIA,+15626988326,https://www.cusocal.org,US,USA,UNITED STATES,
473598,VISA,CREDIT,CLASSIC,CENTRAL STATE CREDIT UNION,+12094445300,https://www.centralstatecu.org,US,USA,UNITED STATES,
473599,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
473611,VISA,CREDIT,BUSINESS,SHAREPOINT CREDIT UNION,,,US,USA,UNITED STATES,
473620,VISA,CREDIT,BUSINESS,"GE CAPITAL FINANCIAL, INC.",+18664194096,https://www.gecapital.com,US,USA,UNITED STATES,
473621,VISA,CREDIT,CLASSIC,"GE CAPITAL FINANCIAL, INC.",+18664194096,https://www.gecapital.com,US,USA,UNITED STATES,
473624,VISA,CREDIT,TRADITIONAL,QUALSTAR CREDIT UNION,+18008480018,https://www.qualstarcu.com,US,USA,UNITED STATES,
473628,VISA,CREDIT,TRADITIONAL,PIONEER APPALACHIA FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473629,VISA,CREDIT,BUSINESS,"GE CAPITAL FINANCIAL, INC.",+18664194096,https://www.gecapital.com,US,USA,UNITED STATES,
473632,VISA,CREDIT,TRADITIONAL,ALPINE BANK,+18005516098,https://www.alpinebank.com,US,USA,UNITED STATES,
473633,VISA,CREDIT,TRADITIONAL REWARDS,ALPINE BANK,+18005516098,https://www.alpinebank.com,US,USA,UNITED STATES,
473634,VISA,CREDIT,SIGNATURE,ALPINE BANK,+18005516098,https://www.alpinebank.com,US,USA,UNITED STATES,
473635,VISA,CREDIT,BUSINESS,ALPINE BANK,+18005516098,https://www.alpinebank.com,US,USA,UNITED STATES,
473636,VISA,CREDIT,BUSINESS,ALPINE BANK,+18005516098,https://www.alpinebank.com,US,USA,UNITED STATES,
473649,VISA,CREDIT,BUSINESS,"GE CAPITAL FINANCIAL, INC.",+18664194096,https://www.gecapital.com,US,USA,UNITED STATES,
473650,VISA,CREDIT,TRADITIONAL REWARDS,NORTHWEST COMMUNITY CREDIT UNION,+18004529515,https://www.nwcu.com,US,USA,UNITED STATES,
473651,VISA,CREDIT,TRADITIONAL REWARDS,NORTHWEST COMMUNITY CREDIT UNION,+18004529515,https://www.nwcu.com,US,USA,UNITED STATES,
473652,VISA,CREDIT,TRADITIONAL REWARDS,NORTHWEST COMMUNITY CREDIT UNION,+18004529515,https://www.nwcu.com,US,USA,UNITED STATES,
473656,VISA,CREDIT,CLASSIC,"GE CAPITAL FINANCIAL, INC.",+18664194096,https://www.gecapital.com,US,USA,UNITED STATES,
473658,VISA,CREDIT,TRADITIONAL,COLORADO CREDIT UNION,,,US,USA,UNITED STATES,
473659,VISA,CREDIT,TRADITIONAL REWARDS,FIRST FLORIDA CREDIT UNION,+18007664328,https://www.firstflorida.org,US,USA,UNITED STATES,
473693,VISA,CREDIT,,HEARTLAND BANK,+18006970049,https://www.heartland.bank,US,USA,UNITED STATES,
473700,VISA,CREDIT,CLASSIC,ONE NEVADA CREDIT UNION,+18003883000,https://onenevada.org,US,USA,UNITED STATES,
473709,VISA,CREDIT,,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,
473723,VISA,CREDIT,,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,
473730,VISA,CREDIT,BUSINESS,ELEVATIONS CREDIT UNION,+18004297626,https://www.elevationscu.com,US,USA,UNITED STATES,
473764,VISA,CREDIT,,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,
473800,VISA,CREDIT,BUSINESS,HERITAGE BANK OF COMMERCE,+18884944599,https://www.heritagebankofcommerce.bank,US,USA,UNITED STATES,
473803,VISA,CREDIT,TRADITIONAL,STATE EMPLOYEES' CREDIT UNION,+18887328562,https://www.ncsecu.org,US,USA,UNITED STATES,
473805,VISA,CREDIT,BUSINESS,PATRIOT FEDERAL CREDIT UNION,+18888034913,https://www.patriotfcu.org,US,USA,UNITED STATES,
473900,VISA,CREDIT,TRADITIONAL,TRANSCEND CREDIT UNION,,,US,USA,UNITED STATES,
473901,VISA,CREDIT,TRADITIONAL,EMPEOPLE CREDIT UNION,,,US,USA,UNITED STATES,
473902,VISA,CREDIT,BUSINESS,METRO CREDIT UNION,+18776963876,https://www.metrocu.org,US,USA,UNITED STATES,
473904,VISA,CREDIT,TRADITIONAL,MERRIMACK VALLEY CREDIT UNION,,,US,USA,UNITED STATES,
473911,VISA,CREDIT,BUSINESS,COMMONWEALTH ONE FEDERAL CREDIT UNION,+18004243334,https://www.cofcu.org,US,USA,UNITED STATES,
473912,VISA,CREDIT,CLASSIC,PEARL HAWAII FEDERAL CREDIT UNION,+18087374328,https://pearlhawaii.com,US,USA,UNITED STATES,
473914,VISA,CREDIT,BUSINESS,TRUMARK FINANCIAL CREDIT UNION,+18778786275,https://www.trumarkonline.org,US,USA,UNITED STATES,
473915,VISA,CREDIT,TRADITIONAL,SECURITY CREDIT UNION,,,US,USA,UNITED STATES,
473917,VISA,CREDIT,CLASSIC,TRAX FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473918,VISA,CREDIT,BUSINESS,"MUNICIPAL EMPLOYEES CREDIT UNION OF BALTIMORE, INC.",+14107528313,https://www.mecu.com,US,USA,UNITED STATES,
473923,VISA,CREDIT,TRADITIONAL REWARDS,CHESSIE FEDERAL CREDIT UNION,+13017771781,https://www.chessiefcu.org,US,USA,UNITED STATES,
473924,VISA,CREDIT,BUSINESS,ONEAZ CREDIT UNION,,,US,USA,UNITED STATES,
473925,VISA,CREDIT,BUSINESS,CLEARVIEW FEDERAL CREDIT UNION,+18009260003,https://www.clearviewfcu.org,US,USA,UNITED STATES,
473929,VISA,CREDIT,TRADITIONAL,SANTA ANA FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473931,VISA,CREDIT,TRADITIONAL,ADDITION FINANCIAL CREDIT UNION,+14078969411,https://www.additionfi.com,US,USA,UNITED STATES,
473934,VISA,CREDIT,BUSINESS,SPERO FINANCIAL FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473942,VISA,CREDIT,BUSINESS,RELIANT COMMUNITY FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473948,VISA,CREDIT,TRADITIONAL,VYSTAR CREDIT UNION,+19047776000,https://vystarcu.org,US,USA,UNITED STATES,
473949,VISA,CREDIT,BUSINESS,FIRSTLIGHT FEDERAL CREDIT UNION,+18003511670,https://www.firstlightfcu.org,US,USA,UNITED STATES,
473954,VISA,CREDIT,BUSINESS,BLAZE CREDIT UNION,,,US,USA,UNITED STATES,
473958,VISA,CREDIT,TRADITIONAL,JOLT CREDIT UNION,,,US,USA,UNITED STATES,
473959,VISA,CREDIT,BUSINESS,MEMBER ONE FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473960,VISA,CREDIT,BUSINESS,ABRI CREDIT UNION,+18152677700,https://www.abricu.com,US,USA,UNITED STATES,
473961,VISA,CREDIT,BUSINESS,FREEDOM OF MARYLAND FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473962,VISA,CREDIT,CLASSIC,TRANSPORTATION FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473966,VISA,CREDIT,BUSINESS,S.C. STATE FEDERAL CREDIT UNION,+18008688740,https://www.scscu.com,US,USA,UNITED STATES,
473968,VISA,CREDIT,BUSINESS,VIBRANT CREDIT UNION,+18003235109,https://vibrantcreditunion.org,US,USA,UNITED STATES,
473970,VISA,CREDIT,BUSINESS,AMERICAN EAGLE FINANCIAL CREDIT UNION,,,US,USA,UNITED STATES,
473971,VISA,CREDIT,BUSINESS,MONROE COUNTY COMMUNITY CREDIT UNION,+18005412222,https://www.monroecommunitycu.org,US,USA,UNITED STATES,
473972,VISA,CREDIT,TRADITIONAL,KEESLER FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473973,VISA,CREDIT,BUSINESS,ALTRA FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473978,VISA,CREDIT,BUSINESS,AFFINITY PLUS FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473980,VISA,CREDIT,TRADITIONAL REWARDS,NASA FEDERAL CREDIT UNION,+13012491800,https://www.nasafcu.com,US,USA,UNITED STATES,
473982,VISA,CREDIT,BUSINESS,ESSENTIAL FEDERAL CREDIT UNION,+18883692207,https://www.essentialfcu.org,US,USA,UNITED STATES,
473985,VISA,CREDIT,TRADITIONAL REWARDS,AFFINITY PLUS FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473988,VISA,CREDIT,BUSINESS,FIRSTMARK CREDIT UNION,,,US,USA,UNITED STATES,
473991,VISA,CREDIT,BUSINESS,IDEAL CREDIT UNION,+16517707000,https://www.idealcu.com,US,USA,UNITED STATES,
473993,VISA,CREDIT,CLASSIC,MTC FEDERAL CREDIT UNION,+18004427792,https://www.mtcfederal.com,US,USA,UNITED STATES,
473995,VISA,CREDIT,BUSINESS,GREENVILLE FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
473996,VISA,CREDIT,BUSINESS,LANGLEY FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
474104,VISA,CREDIT,SIGNATURE,TRUMARK FINANCIAL CREDIT UNION,+18778786275,https://www.trumarkonline.org,US,USA,UNITED STATES,
474106,VISA,CREDIT,SIGNATURE,TRUMARK FINANCIAL CREDIT UNION,+18778786275,https://www.trumarkonline.org,US,USA,UNITED STATES,
474111,VISA,CREDIT,,"CITIBANK, N.A.",+18003749700,https://www.citi.com,US,USA,UNITED STATES,
474167,VISA,CREDIT,PURCHASING,JPMORGAN CHASE BANK N.A. - COMMERCIAL,,,US,USA,UNITED STATES,
474168,VISA,CREDIT,CORPORATE T&E,JPMORGAN CHASE BANK N.A. - COMMERCIAL,,,US,USA,UNITED STATES,#00abdf
474169,VISA,CREDIT,CORPORATE T&E,JPMORGAN CHASE BANK N.A. - COMMERCIAL,,,US,USA,UNITED STATES,
474170,VISA,CREDIT,PURCHASING,JPMORGAN CHASE BANK N.A. - COMMERCIAL,,,US,USA,UNITED STATES,#00abdf
474171,VISA,CREDIT,PURCHASING,JPMORGAN CHASE BANK N.A. - COMMERCIAL,,,US,USA,UNITED STATES,
474172,VISA,CREDIT,PURCHASING,JPMORGAN CHASE BANK N.A. - COMMERCIAL,,,US,USA,UNITED STATES,
474173,VISA,CREDIT,PURCHASING,JPMORGAN CHASE BANK N.A. - COMMERCIAL,,,US,USA,UNITED STATES,
474188,VISA,CREDIT,SIGNATURE,LOS ANGELES FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
474189,VISA,CREDIT,SIGNATURE,COMMUNITY CHOICE CREDIT UNION,+18772432528,https://www.communitychoicecu.com,US,USA,UNITED STATES,
474190,VISA,CREDIT,SIGNATURE,BLAZE CREDIT UNION,,,US,USA,UNITED STATES,
474192,VISA,CREDIT,CLASSIC,STATE EMPLOYEES' CREDIT UNION,+18887328562,https://www.ncsecu.org,US,USA,UNITED STATES,
474193,VISA,CREDIT,TRADITIONAL,LATINO COMMUNITY CREDIT UNION,,,US,USA,UNITED STATES,
474194,VISA,CREDIT,CLASSIC,STATE EMPLOYEES' CREDIT UNION,+18887328562,https://www.ncsecu.org,US,USA,UNITED STATES,
